youtuber,id,uploads,subscribers,video views,country,account created,estimated monthly income
3Blue1Brown,@3blue1brown,127,4.91M,316927667,US,"Mar 3rd, 2015",$844 - $13.5K
Joma Tech,@jomaoppa,107,2.06M,164892515,US,"Aug 31st, 2016",$711 - $11.4K
The Coding Train,@thecodingtrain,1210,1.54M,110960063,US,"Jul 3rd, 2006",$229 - $3.7K
sentdex,@sentdex,1233,1.2M,107212166,US,"Dec 16th, 2012",$214 - $3.4K
Tech With Tim,@techwithtim,772,1.14M,102224704,CA,"Apr 23rd, 2014",$516 - $8.3K
Corey Schafer,@coreyms,231,1.04M,81466465,US,"May 31st, 2006",$216 - $3.5K
Krish Naik,@krishnaik06,1600,705K,68141382,IN,"Feb 11th, 2012",$342 - $5.5K
codebasics,@codebasics,590,722K,48888225,US,"Nov 7th, 2015",$336 - $5.4K
Siraj Raval,@sirajraval,444,718K,46483839,US,"Jan 2nd, 2016",$103 - $1.6K
StatQuest with Josh Starmer,@statquest,235,861K,44193163,US,"May 24th, 2011",$218 - $3.5K
Guy in a Cube,@guyinacube,862,314K,24564611,US,"Dec 3rd, 2014",$110 - $1.8K
Tina Huang,@tinahuang1,115,435K,17898210,US,"Aug 28th, 2013",$136 - $2.2K
Alex The Analyst,@alextheanalyst,186,345K,13592140,US,"Jan 8th, 2020",$179 - $2.9K
Luke Barousse,@lukebarousse,103,295K,13333599,US,"Aug 3rd, 2020",$250 - $4K
365 Data Science,@365datascience,214,271K,11570396,BG,"Aug 7th, 2017",$36 - $579
Data School,@dataschool,139,210K,10646067,US,"Apr 30th, 2014",$17 - $273
deeplizard,@deeplizard,326,129K,10565467,US,"Aug 22nd, 2017",$27 - $440
Ken Jee,@KenJee_ds,245,232K,7383381,US,"Feb 28th, 2014",$31 - $499
Data Science Dojo,@datasciencedojo,378,91.7K,5179939,US,"Aug 6th, 2014",$10 - $163
Data Science Tutorials,@rvideotutorials,947,46.7K,5115039,IN,"Nov 1st, 2015",$27 - $438
Data Professor,@dataprofessor,305,144K,3917923,TH,"Aug 17th, 2019",$27 - $432
Thu Vu data analytics,@thuvu5,55,112K,2835877,US,"Apr 30th, 2021",$105 - $1.7K
DATAtab,@datatab,160,38.9K,2749375,AT,"May 16th, 2020",$52 - $834
The Semicolon,@thesemicolon,46,24.4K,2326287,US,"Jun 5th, 2016",$3 - $53
Abhishek Thakur,@abhishekkrthakur,150,78.1K,2148261,IN,"May 24th, 2009",$8 - $128
MyStudy,@mystudyisfun,317,11.6K,1689539,IN,"Jun 20th, 2016",$5 - $85
Andreas Kretz,@andreaskayy,222,32.9K,922726,DE,"Apr 18th, 2017",$4 - $66
"Arpan Gupta Data Scientist, IITian",@arpanguptadatascientistii,137,6.15K,469964,IN,"Dec 23rd, 2016",$0.77 - $12
The Data Incubator,@thedataincubatorvideos,141,7.56K,252144,US,"Feb 5th, 2015",$0.17 - $3
Recall by Dataiku,@recallbydataiku,32,50.2K,1230508,US,"Aug 24th, 2021",$10 - $160
